marketDate,securityType,symbol,downRom,upRom,Kurtosis,VaR,Beta
2024-10-31,Other,HAPS,-1.0,1.0,1.83611,0.32536,1.18963
2024-10-31,Other,HAPY,-1.0,1.0,1.07967,0.2191,1.01032
2024-10-31,Other,HARD,-1.0,1.0,0.7578,0.19305,0.13051
2024-10-31,Other,HART,-1.0,1.0,2.50951,0.16365,0.57135
2024-10-31,CS,HAS,-0.38165,0.50939,6.16866,0.45995,0.74911
2024-10-31,CS,HASI,-0.48818,0.76321,6.66601,0.73409,1.46501
2024-10-31,Other,HAUS,-1.0,1.0,2.37649,0.27192,0.64355
2024-10-31,Other,HAUZ,-1.0,1.0,2.31295,0.26432,0.76442
2024-10-31,Other,HAWX,-1.0,1.0,2.01486,0.16768,0.68601
2024-10-31,CS,HAYN,-0.33689,0.43653,10.56041,0.28475,0.33874
2024-10-31,CS,HAYW,-0.46024,0.59649,4.83702,0.60271,1.28094
2024-10-31,CS,HBAN,-0.36252,0.46362,2.42054,0.41162,0.94367
2024-10-31,CS,HBANL,-0.29931,0.3345,3.74413,0.23139,0.34228
2024-10-31,CS,HBANM,-0.26781,0.33385,1.58292,0.22681,0.22547
2024-10-31,Other,HBANP,-1.0,1.0,1.92421,0.29042,0.44392
2024-10-31,CS,HBB,-0.6668,0.87402,11.24416,0.96421,0.62937
2024-10-31,CS,HBCP,-0.48771,0.5253,1.59858,0.586,1.1492
2024-10-31,CS,HBI,-0.58292,0.74678,2.5434,0.86461,1.69064
2024-10-31,CS,HBIO,-0.55235,0.73953,1.54727,0.91856,1.51752
2024-10-31,CS,HBM,-0.51294,0.65749,2.23825,0.72342,1.7964
2024-10-31,CS,HBNC,-0.43556,0.65185,5.68935,0.6256,1.26529
2024-10-31,CS,HBT,-0.38656,0.50223,1.92701,0.48281,0.9458
2024-10-31,CS,HCA,-0.46554,0.39199,5.69596,0.40181,0.60933
2024-10-31,CS,HCAT,-0.62609,1.05021,19.89972,1.1351,2.09141
2024-10-31,CS,HCC,-0.5287,0.63567,4.96188,0.72403,0.97717
2024-10-31,CS,HCI,-0.55092,0.71655,20.21821,0.69545,0.4968
2024-10-31,CS,HCKT,-0.37423,0.44482,7.4763,0.40369,0.68391
2024-10-31,Other,HCM,-1.0,1.0,1.0193,0.95944,1.12202
2024-10-31,Other,HCMT,-1.0,1.0,1.20448,0.43191,2.12998
2024-10-31,Other,HCOM,-1.0,1.0,11.63514,0.21014,0.20114
2024-10-31,Other,HCOW,-1.0,1.0,0.25811,0.25588,0.86135
2024-10-31,CS,HCP,-0.56686,0.76675,16.69175,0.67357,0.71971
2024-10-31,Other,HCRB,-1.0,1.0,1.04551,0.09476,0.09382
2024-10-31,CS,HCSG,-0.43027,0.72335,49.26475,0.64776,1.22964
2024-10-31,CS,HCTI,-1.24757,1.0,67.02529,3.3954,-0.36447
2024-10-31,CS,HCVI,-0.44666,0.49335,31.36174,0.32024,0.0526
2024-10-31,Other,HCVIU,-1.0,1.0,2.63466,0.83492,-0.03835
2024-10-31,Other,HCVIW,-1.0,1.0,4.93415,4.58807,3.23112
2024-10-31,CS,HCWB,-1.0,1.0,4.01469,1.72962,-0.20524
2024-10-31,CS,HCWC,-1.40434,1.41916,0.76171,2.87129,1.06277
2024-10-31,Other,HCXY,-1.0,1.0,4.67263,0.20969,0.12996
2024-10-31,CS,HD,-0.31907,0.37165,1.11673,0.31466,0.88604
2024-10-31,Other,HDB,-1.0,1.0,7.42294,0.45114,0.5277
2024-10-31,Other,HDEF,-1.0,1.0,0.67189,0.1873,0.56476
2024-10-31,Other,HDG,-1.0,1.0,2.30559,0.09065,0.2741
2024-10-31,Other,HDGE,-1.0,1.0,7.4773,0.39619,-1.14643
2024-10-31,Other,HDL,-1.0,1.0,1.08206,0.99859,1.30417
2024-10-31,Other,HDLB,-1.0,1.0,0.88133,0.41901,0.59804
2024-10-31,Other,HDMV,-1.0,1.0,-0.08455,0.16266,0.51195
2024-10-31,Other,HDRO,-1.0,1.0,0.58571,0.59641,1.44565
2024-10-31,CS,HDSN,-0.56823,0.53502,10.64804,0.69967,0.68048
2024-10-31,Other,HDUS,-1.0,1.0,1.31141,0.16834,0.9041
2024-10-31,Other,HDV,-1.0,1.0,1.50019,0.15738,0.34188
2024-10-31,CS,HE,-0.74085,1.10628,18.20961,1.20291,-0.30251
2024-10-31,CS,HEAR,-0.51593,0.89802,12.61332,0.88257,1.23539
2024-10-31,Other,HEAT,-1.0,1.0,0.3287,0.2549,1.15089
2024-10-31,Other,HECO,-1.0,1.0,-0.26132,0.33824,1.65548
2024-10-31,Other,HEDJ,-1.0,1.0,0.75013,0.21558,0.73631
2024-10-31,Other,HEEM,-1.0,1.0,1.64059,0.2248,0.71735
2024-10-31,CS,HEES,-0.62456,0.52983,10.10789,0.67314,1.74145
2024-10-31,Other,HEFA,-1.0,1.0,2.47975,0.1718,0.67101
2024-10-31,Other,HEGD,-1.0,1.0,0.27749,0.12304,0.60101
2024-10-31,CS,HEI,-0.34381,0.36367,1.0692,0.31439,0.86343
2024-10-31,CS,HEI.A,-0.34225,0.35076,0.84167,0.30722,0.8587
2024-10-31,Other,HEJD,-1.0,1.0,1.04573,0.1256,0.41084
2024-10-31,CS,HELE,-0.73289,0.63328,27.91615,0.82556,1.03313
2024-10-31,Other,HELO,-1.0,1.0,2.18471,0.10367,0.52583
2024-10-31,Other,HELX,-1.0,1.0,0.47739,0.279,0.99507
2024-10-31,CS,HEPA,-1.0,1.0,5.4773,1.79474,0.71158
2024-10-31,Other,HEPS,-1.0,1.0,58.05219,1.30708,1.45822
2024-10-31,Other,HEQ,-1.0,1.0,2.72553,0.18289,0.55076
2024-10-31,Other,HEQT,-1.0,1.0,6.80378,0.1225,0.55501
2024-10-31,Other,HERD,-1.0,1.0,0.63688,0.26791,0.80483
2024-10-31,Other,HERO,-1.0,1.0,0.31873,0.32906,1.10311
2024-10-31,CS,HES,-0.39468,0.37248,3.26557,0.3849,0.54721
2024-10-31,CS,HESM,-0.32986,0.32405,1.54786,0.27788,0.47215
2024-10-31,Other,HEWJ,-1.0,1.0,4.68704,0.3113,0.95033
2024-10-31,Other,HEZU,-1.0,1.0,0.44529,0.1963,0.70492
2024-10-31,Other,HF,-1.0,1.0,3.91247,0.11696,0.54562
2024-10-31,CS,HFBL,-0.57596,0.78048,7.88857,0.83419,-0.23008
2024-10-31,CS,HFFG,-0.69264,0.77342,1.61937,1.02043,1.72183
2024-10-31,Other,HFGO,-1.0,1.0,1.00178,0.28616,1.40429
2024-10-31,Other,HFND,-1.0,1.0,1.90312,0.13247,0.47878
2024-10-31,Other,HFRO,-1.0,1.0,21.87358,0.49266,0.66496
2024-10-31,Other,HFROpA,-1.0,1.0,2.01491,0.18155,0.1237
2024-10-31,Other,HFSP,-1.0,1.0,2.35939,0.10878,-0.50234
2024-10-31,CS,HFWA,-0.40266,0.51008,1.14784,0.50143,0.82195
2024-10-31,Other,HFXI,-1.0,1.0,1.37289,0.18242,0.74664
2024-10-31,CS,HG,-0.40398,0.5385,2.07589,0.55153,0.5607
2024-10-31,CS,HGBL,-0.72375,0.51965,10.94208,0.78944,0.14208
2024-10-31,Other,HGER,-1.0,1.0,13.41325,0.22144,0.16689
2024-10-31,Other,HGLB,-1.0,1.0,4.13146,0.33973,0.58786
2024-10-31,CS,HGTY,-0.41957,0.48542,4.30954,0.47753,0.43497
2024-10-31,CS,HGV,-0.48875,0.48629,1.61086,0.57636,1.18984
2024-10-31,CS,HHH,-0.41558,0.4519,3.09039,0.45531,1.33105
2024-10-31,CS,HHS,-0.48599,0.49599,7.46928,0.51658,0.38039
2024-10-31,CS,HI,-0.53947,0.48562,3.63707,0.63559,1.33378
2024-10-31,Other,HIBL,-1.0,1.0,1.0411,0.99971,4.52317
2024-10-31,Other,HIBS,-1.0,1.0,1.01794,1.10229,-4.56302
2024-10-31,Other,HIDE,-1.0,1.0,48.71993,0.09103,0.12934
2024-10-31,Other,HIDV,-1.0,1.0,1.70463,0.1779,0.91351
2024-10-31,Other,HIE,-1.0,1.0,2.5535,0.18437,0.44985
2024-10-31,CS,HIFS,-0.44138,0.57163,0.94812,0.60764,1.16459
